sampleid	Cluster	Description
K03100	4	K03100: signal peptidase I
K12541	4	K12541: ATP-binding cassette subfamily C bacterial LapB
K06881	4	K06881
K10943	4	K10943: two component system response regulator FlrC
K10947	4	K10947: PadR family transcriptional regulator regulatory protein PadR
K00481	4	K00481: p-hydroxybenzoate 3-monooxygenase
K00480	4	K00480: salicylate hydroxylase
K00485	4	K00485: dimethylaniline monooxygenase (N-oxide forming)
K04014	4	K04014: formate-dependent nitrite reductase Fe-S protein
K04016	4	K04016: formate-dependent nitrite reductase possible assembly protein
K13628	4	K13628
K01428	4	K01428: urease alpha subunit
K01429	4	K01429: urease beta subunit
K01422	4	K01422
K01423	4	K01423
K08068	4	K08068: N-acetylglucosamine-6-phosphate 2-epimerase and phosphatase
K12978	4	K12978
K12972	4	K12972
K12288	4	K12288: pilus assembly protein HofM
K11957	4	K11957: neutral amino acid transport system ATP-binding protein
K11956	4	K11956: neutral amino acid transport system permease protein
K11955	4	K11955: neutral amino acid transport system permease protein
K11958	4	K11958: neutral amino acid transport system ATP-binding protein
K13889	4	K13889
K08688	4	K08688: creatinase
K00155	4	K00155
K00154	4	K00154: coniferyl-aldehyde dehydrogenase
K10536	4	K10536: agmatine deiminase
K10539	4	K10539: L-arabinose transport system ATP-binding protein
K00076	4	K00076: 7-alpha-hydroxysteroid dehydrogenase
K00077	4	K00077: 2-dehydropantoate 2-reductase
K00075	4	K00075: UDP-N-acetylmuramate dehydrogenase
K00079	4	K00079: carbonyl reductase (NADPH)
K05245	4	K05245: L-carnitine/gamma-butyrobetaine antiporter
K00297	4	K00297: methylenetetrahydrofolate reductase (NADPH)
K00294	4	K00294: 1-pyrroline-5-carboxylate dehydrogenase
K00293	4	K00293: saccharopine dehydrogenase (NADP+ L-glutamate forming)
K00290	4	K00290: saccharopine dehydrogenase (NAD+ L-lysine forming)
K01212	4	K01212: levanase
K01215	4	K01215: glucan 16-alpha-glucosidase
K01216	4	K01216: licheninase
K00924	4	K00924
K00927	4	K00927: phosphoglycerate kinase
K00928	4	K00928: aspartate kinase
K02563	4	K02563: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)
K02564	4	K02564: glucosamine-6-phosphate deaminase
K03168	4	K03168: DNA topoisomerase I
K03925	4	K03925: MraZ protein
K07668	4	K07668: two-component system OmpR family response regulator VicR
K07663	4	K07663: two-component system OmpR family catabolic regulation response
K03927	4	K03927: carboxylesterase type B
K03926	4	K03926: periplasmic divalent cation tolerance protein
K07003	4	K07003
K08591	4	K08591: putative membrane protein
K01157	4	K01157
K01155	4	K01155: type II restriction enzyme
K01152	4	K01152: type I restriction enzyme
K01408	4	K01408: insulysin
K01409	4	K01409: O-sialoglycoprotein endopeptidase
K01159	4	K01159: crossover junction endodeoxyribonuclease RuvC
K05521	4	K05521: ADP-ribosylglycohydrolase
K05527	4	K05527: BolA protein
K05525	4	K05525: linalool 8-monooxygenase
K05524	4	K05524: ferredoxin
K01026	4	K01026: propionate CoA-transferase
K00329	4	K00329: NADH dehydrogenase
K01755	4	K01755: argininosuccinate lyase
K01751	4	K01751: diaminopropionate ammonia-lyase
K03806	4	K03806: AmpD protein
K06941	4	K06941: ribosomal RNA large subunit methyltransferase N
K06410	4	K06410: dipicolinate synthase subunit A
K01029	4	K01029: 3-oxoacid CoA-transferase subunit B
K07279	4	K07279: hypothetical protein
K08605	4	K08605: coccolysin
K09955	4	K09955: hypothetical protein
K09952	4	K09952: hypothetical protein
K09958	4	K09958: hypothetical protein
K11209	4	K11209: GST-like protein
K11201	4	K11201: PTS system fructose-specific IIA-like component
K00058	4	K00058: D-3-phosphoglycerate dehydrogenase
K00059	4	K00059: 3-oxoacyl-[acyl-carrier protein] reductase
K00721	4	K00721: dolichol-phosphate mannosyltransferase
K01239	4	K01239: purine nucleosidase
K01238	4	K01238
K01897	4	K01897: long-chain acyl-CoA synthetase
K01895	4	K01895: acetyl-CoA synthetase
K00948	4	K00948: ribose-phosphate pyrophosphokinase
K00942	4	K00942: guanylate kinase
K00943	4	K00943: dTMP kinase
K00940	4	K00940: nucleoside-diphosphate kinase
K00941	4	K00941: phosphomethylpyrimidine kinase
K00946	4	K00946: thiamine-monophosphate kinase
K00945	4	K00945: cytidylate kinase
K01095	4	K01095: phosphatidylglycerophosphatase A
K01092	4	K01092: myo-inositol-1(or 4)-monophosphatase
K01091	4	K01091: phosphoglycolate phosphatase
K03499	4	K03499: trk system potassium uptake protein TrkA
K03498	4	K03498: trk system potassium uptake protein TrkH
K03495	4	K03495: glucose inhibited division protein A
K03497	4	K03497: chromosome partitioning protein ParB family
K03496	4	K03496: chromosome partitioning protein
K02548	4	K02548: 14-dihydroxy-2-naphthoate octaprenyltransferase
K03635	4	K03635: molybdenum cofactor biosynthesis protein E
K03637	4	K03637: molybdenum cofactor biosynthesis protein C
K03631	4	K03631: DNA repair protein RecN (Recombination protein N)
K03149	4	K03149: thiamine biosynthesis ThiG
K03148	4	K03148: adenylyltransferase ThiF
K03639	4	K03639: molybdenum cofactor biosynthesis protein A
K03638	4	K03638: molybdenum cofactor biosynthesis protein B
K06041	4	K06041: arabinose-5-phosphate isomerase
K06042	4	K06042: precorrin-8X methylmutase
K07393	4	K07393: putative glutathione S-transferase
K07390	4	K07390: monothiol glutaredoxin
K07027	4	K07027
K07021	4	K07021
K05896	4	K05896: segregation and condensation protein A
K05899	4	K05899: glycine oxidase
K00554	4	K00554: tRNA (guanine-N1-)-methyltransferase
K00558	4	K00558: DNA (cytosine-5-)-methyltransferase
K01173	4	K01173: endonuclease
K01175	4	K01175
K01179	4	K01179: endoglucanase
K03828	4	K03828: putative acetyltransferase
K03829	4	K03829: putative acetyltransferase
K03820	4	K03820: apolipoprotein N-acyltransferase
K12241	4	K12241: pyochelin biosynthetic protein PchG
K10221	4	K10221: 2-pyrone-46-dicarboxylate lactonase
K09970	4	K09970: general L-amino acid transport system permease protein
K09971	4	K09971: general L-amino acid transport system permease protein
K09972	4	K09972: general L-amino acid transport system ATP-binding protein
K11263	4	K11263: acetyl/propionyl carboxylase subunit alpha
K00966	4	K00966: mannose-1-phosphate guanylyltransferase
K00962	4	K00962: polyribonucleotide nucleotidyltransferase
K00963	4	K00963: UTP--glucose-1-phosphate uridylyltransferase
K00968	4	K00968: choline-phosphate cytidylyltransferase
K00969	4	K00969: nicotinate-nucleotide adenylyltransferase
K01616	4	K01616: 2-oxoglutarate decarboxylase
K01613	4	K01613: phosphatidylserine decarboxylase
K01619	4	K01619: deoxyribose-phosphate aldolase
K02834	4	K02834: ribosome-binding factor A
K02835	4	K02835: peptide chain release factor RF-1
K02836	4	K02836: peptide chain release factor RF-2
K02837	4	K02837: peptide chain release factor RF-3
K02838	4	K02838: ribosome recycling factor
K02839	4	K02839: peptide chain release factor RF-H
K03611	4	K03611: disulfide bond formation protein DsbB
K09701	4	K09701: hypothetical protein
K09709	4	K09709: hypothetical protein
K11079	4	K11079: mannopine transport system permease protein
K11074	4	K11074: putrescine transport system permease protein
K11075	4	K11075: putrescine transport system permease protein
K11076	4	K11076: putrescine transport system ATP-binding protein
K11072	4	K11072: spermidine/putrescine transport system ATP-binding protein
K11073	4	K11073: putrescine transport system substrate-binding protein
K06934	4	K06934
K06938	4	K06938
K05913	4	K05913: 24'-dihydroxyacetophenone dioxygenase
K05919	4	K05919: superoxide reductase
K00390	4	K00390: phosphoadenosine phosphosulfate reductase
K00397	4	K00397: anaerobic dimethyl sulfoxide reductase
K00395	4	K00395: adenylylsulfate reductase subunit B
K00394	4	K00394: adenylylsulfate reductase subunit A
K01372	4	K01372: bleomycin hydrolase
K05879	4	K05879: dihydroxyacetone kinase C-terminal domain
K05878	4	K05878: dihydroxyacetone kinase N-terminal domain
K00574	4	K00574: cyclopropane-fatty-acyl-phospholipid synthase
K00571	4	K00571: site-specific DNA-methyltransferase (adenine-specific)
K01112	4	K01112
K01153	4	K01153: type I restriction enzyme R subunit
K13797	4	K13797
K13796	4	K13796
K13795	4	K13795
K13020	4	K13020
K12264	4	K12264: anaerobic nitric oxide reductase flavorubredoxin
K12266	4	K12266: anaerobic nitric oxide reductase transcription regulator
K12267	4	K12267: peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11
K03269	4	K03269: UDP-23-diacylglucosamine hydrolase
K09919	4	K09919: hypothetical protein
K11535	4	K11535: nucleoside transport protein
K00762	4	K00762: orotate phosphoribosyltransferase
K00763	4	K00763: nicotinate phosphoribosyltransferase
K00760	4	K00760: hypoxanthine phosphoribosyltransferase
K00761	4	K00761: uracil phosphoribosyltransferase
K00766	4	K00766: anthranilate phosphoribosyltransferase
K00767	4	K00767: nicotinate-nucleotide pyrophosphorylase (carboxylating)
K00764	4	K00764: amidophosphoribosyltransferase
K00765	4	K00765: ATP phosphoribosyltransferase
K00768	4	K00768: nicotinate-nucleotide--dimethylbenzimidazole
K00769	4	K00769: xanthine phosphoribosyltransferase
K00185	4	K00185: molybdopterin oxidoreductase membrane subunit
K00183	4	K00183: molybdopterin oxidoreductase molybdopterin binding subunit
K10110	4	K10110: maltose/maltodextrin transport system permease protein
K10111	4	K10111: maltose/maltodextrin transport system ATP-binding protein
K10112	4	K10112: maltose/maltodextrin transport system ATP-binding protein
K10116	4	K10116: maltooligosaccharide transport system ATP-binding protein
K10118	4	K10118: multiple sugar transport system permease protein
K10119	4	K10119: multiple sugar transport system permease protein
K00989	4	K00989: ribonuclease PH
K00983	4	K00983: N-acylneuraminate cytidylyltransferase
K00981	4	K00981: phosphatidate cytidylyltransferase
K01586	4	K01586: diaminopimelate decarboxylase
K13497	4	K13497
K01588	4	K01588: phosphoribosylaminoimidazole carboxylase catalytic subunit
K08344	4	K08344: suppressor for copper-sensitivity B
K03458	4	K03458: nucleobase:cation symporter-2 NCS2 family
K03453	4	K03453: bile acid:Na+ symporter BASS family
K03980	4	K03980: virulence factor
K01638	4	K01638: malate synthase
K01637	4	K01637: isocitrate lyase
K01633	4	K01633: dihydroneopterin aldolase
K02858	4	K02858: 34-dihydroxy 2-butanone 4-phosphate synthase
K14053	4	K14053
K02853	4	K02853: 4-alpha-L-fucosyltransferase
K03671	4	K03671: thioredoxin 1
K03677	4	K03677: CysQ protein
K03676	4	K03676: glutaredoxin 3
K09760	4	K09760: DNA recombination protein RmuC
K09765	4	K09765: hypothetical protein
K09769	4	K09769: hypothetical protein
K03183	4	K03183: ubiquinone/menaquinone biosynthesis methyltransferase
K03189	4	K03189: urease accessory protein
K12454	4	K12454: CDP-paratose 2-epimerase
K12453	4	K12453: CDP-paratose synthetase
K12452	4	K12452: CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase
K07352	4	K07352: type 1 fimbrial protein
K07353	4	K07353: fimbrial chaperone protein
K07350	4	K07350: minor fimbrial subunit
K06916	4	K06916
K06914	4	K06914
K06911	4	K06911
K00378	4	K00378: hydroxylamine reductase
K09160	4	K09160: hypothetical protein
K01354	4	K01354: oligopeptidase B
K01356	4	K01356: repressor LexA
K05606	4	K05606: methylmalonyl-CoA epimerase
K05970	4	K05970: sialate O-acetylesterase
K03801	4	K03801: lipoyl(octanoyl) transferase
K05587	4	K05587: diaphorase subunit of the bidirectional hydrogenase
K14201	4	K14201
K03621	4	K03621: fatty acid/phospholipid synthesis protein
K01135	4	K01135: arylsulfatase B
K01137	4	K01137: N-acetylglucosamine-6-sulfatase
K01130	4	K01130: arylsulfatase
K01132	4	K01132: N-acetylgalactosamine-6-sulfatase
K01133	4	K01133: choline-sulfatase
K01138	4	K01138
K01139	4	K01139: guanosine-3'5'-bis(diphosphate) 3'-pyrophosphohydrolase
K02111	4	K02111: F-type H+-transporting ATPase subunit alpha
K02446	4	K02446: fructose-16-bisphosphatase II
K02115	4	K02115: F-type H+-transporting ATPase subunit gamma
K02114	4	K02114: F-type H+-transporting ATPase subunit epsilon
K04516	4	K04516: chorismate mutase
K13002	4	K13002
K02032	4	K02032: peptide/nickel transport system ATP-binding protein
K06402	4	K06402: stage IV sporulation protein FB
K12203	4	K12203: defect in organelle trafficking protein DotB
K12206	4	K12206: intracellular multiplication protein IcmB
K12204	4	K12204: defect in organelle trafficking protein DotC
K12205	4	K12205: defect in organelle trafficking protein DotD
K06214	4	K06214: curli production assembly/transport component CsgG
K06217	4	K06217: phosphate starvation-inducible protein PhoH and related proteins
K06213	4	K06213: magnesium transporter
K00748	4	K00748: lipid-A-disaccharide synthase
K07164	4	K07164
K07160	4	K07160
K01839	4	K01839: phosphopentomutase
K01838	4	K01838: beta-phosphoglucomutase
K01835	4	K01835: phosphoglucomutase
K01834	4	K01834: phosphoglycerate mutase
K08320	4	K08320: CTP pyrophosphohydrolase
K01659	4	K01659: 2-methylcitrate synthase
K01658	4	K01658: anthranilate synthase component II
K01653	4	K01653: acetolactate synthase I/III small subunit
K01652	4	K01652: acetolactate synthase I/II/III large subunit
K01654	4	K01654: N-acetylneuraminate synthase
K01657	4	K01657: anthranilate synthase component I
K02874	4	K02874: large subunit ribosomal protein L14
K02876	4	K02876: large subunit ribosomal protein L15
K02871	4	K02871: large subunit ribosomal protein L13
K02878	4	K02878: large subunit ribosomal protein L16
K02879	4	K02879: large subunit ribosomal protein L17
K09748	4	K09748: hypothetical protein
K06022	4	K06022: molybdate-transporting ATPase
K09747	4	K09747: hypothetical protein
K03474	4	K03474: pyridoxine 5-phosphate synthase
K03470	4	K03470: ribonuclease HII
K02303	4	K02303: uroporphyrin-III C-methyltransferase
K02301	4	K02301: protoheme IX farnesyltransferase
K03652	4	K03652: DNA-3-methyladenine glycosylase
K03650	4	K03650: tRNA modification GTPase
K03657	4	K03657: DNA helicase II / ATP-dependent DNA helicase PcrA
K03655	4	K03655: ATP-dependent DNA helicase RecG
K03654	4	K03654: ATP-dependent DNA helicase RecQ
K06979	4	K06979
K06978	4	K06978
K06971	4	K06971
K06973	4	K06973
K07080	4	K07080
K07088	4	K07088
K00356	4	K00356: NADH dehydrogenase
K00355	4	K00355: NAD(P)H dehydrogenase (quinone)
K00354	4	K00354: NADPH2 dehydrogenase
K00351	4	K00351: Na+-transporting NADH:ubiquinone oxidoreductase subunit F
K00350	4	K00350: Na+-transporting NADH:ubiquinone oxidoreductase subunit E
K00681	4	K00681: gamma-glutamyltranspeptidase
K00683	4	K00683: glutaminyl-peptide cyclotransferase
K05837	4	K05837: rod shape determining protein RodA
K05838	4	K05838: putative thioredoxin
K00537	4	K00537: arsenate reductase
K14261	4	K14261
K14266	4	K14266
K14269	4	K14269
K01338	4	K01338: ATP-dependent Lon protease
K02682	4	K02682: prepilin peptidase dependent protein D
K00824	4	K00824: D-alanine transaminase
K00826	4	K00826: branched-chain amino acid aminotransferase
K00821	4	K00821: acetylornithine/N-succinyldiaminopimelate aminotransferase
K00820	4	K00820: glucosamine--fructose-6-phosphate aminotransferase (isomerizing)
K00822	4	K00822: beta-alanine--pyruvate transaminase
K00829	4	K00829: diaminobutyrate-pyruvate transaminase
K01489	4	K01489: cytidine deaminase
K01487	4	K01487: guanine deaminase
K01480	4	K01480: agmatinase
K01483	4	K01483: ureidoglycolate hydrolase
K02469	4	K02469: DNA gyrase subunit A
K05308	4	K05308: gluconate dehydratase
K02467	4	K02467: GutQ protein
K05304	4	K05304: sialic acid synthase
K05301	4	K05301: sulfite dehydrogenase
K08969	4	K08969: aminotransferase
K13061	4	K13061
K02408	4	K02408: flagellar hook-basal body complex protein FliE
K00052	4	K00052: 3-isopropylmalate dehydrogenase
K03226	4	K03226: type III secretion protein SctR
K03225	4	K03225: type III secretion protein SctQ
K12224	4	K12224: intracellular multiplication protein IcmW
K12226	4	K12226: proline/betaine transport protein TphA
K11755	4	K11755: phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP
K11754	4	K11754: dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12
K11753	4	K11753: riboflavin kinase / FMN adenylyltransferase
K11752	4	K11752: diaminohydroxyphosphoribosylaminopyrimidine deaminase /
K07149	4	K07149
K07147	4	K07147
K07146	4	K07146
K07145	4	K07145
K07141	4	K07141
K01817	4	K01817: phosphoribosylanthranilate isomerase
K01814	4	K01814: phosphoribosylformimino-5-aminoimidazole carboxamide ribotide
K01813	4	K01813: L-rhamnose isomerase
K01812	4	K01812: glucuronate isomerase
K01810	4	K01810: glucose-6-phosphate isomerase
K08305	4	K08305: membrane-bound lytic murein transglycosylase B
K08300	4	K08300: ribonuclease E
K08309	4	K08309: soluble lytic murein transglycosylase
K01673	4	K01673: carbonic anhydrase
K01679	4	K01679: fumarate hydratase class II
K02899	4	K02899: large subunit ribosomal protein L27
K02897	4	K02897: large subunit ribosomal protein L25
K02895	4	K02895: large subunit ribosomal protein L24
K02892	4	K02892: large subunit ribosomal protein L23
K02890	4	K02890: large subunit ribosomal protein L22
K03417	4	K03417: methylisocitrate lyase
K12144	4	K12144: hydrogenase-4 component I
K07312	4	K07312: putative dimethyl sulfoxide reductase subunit YnfH (DMSO reductase
K07313	4	K07313: serine/threonine protein phosphatase 1
K03423	4	K03423
K03752	4	K03752: molybdopterin-guanine dinucleotide biosynthesis protein A
K03753	4	K03753: molybdopterin-guanine dinucleotide biosynthesis protein B
K00331	4	K00331: NADH dehydrogenase I subunit B
K00330	4	K00330: NADH dehydrogenase I subunit A
K00333	4	K00333: NADH dehydrogenase I subunit D
K00332	4	K00332: NADH dehydrogenase I subunit C
K00335	4	K00335: NADH dehydrogenase I subunit F
K00334	4	K00334: NADH dehydrogenase I subunit E
K00337	4	K00337: NADH dehydrogenase I subunit H
K00336	4	K00336: NADH dehydrogenase I subunit G
K00339	4	K00339: NADH dehydrogenase I subunit J
K00338	4	K00338: NADH dehydrogenase I subunit I
K06954	4	K06954
K09121	4	K09121: hypothetical protein
K09125	4	K09125: hypothetical protein
K05813	4	K05813: sn-glycerol 3-phosphate transport system substrate-binding protein
K05816	4	K05816: sn-glycerol 3-phosphate transport system ATP-binding protein
K05815	4	K05815: sn-glycerol 3-phosphate transport system permease protein
K05814	4	K05814: sn-glycerol 3-phosphate transport system permease protein
K01892	4	K01892: histidyl-tRNA synthetase
K01890	4	K01890: phenylalanyl-tRNA synthetase beta chain
K01144	4	K01144: exodeoxyribonuclease V
K01141	4	K01141: exodeoxyribonuclease I
K02669	4	K02669: twitching motility protein PilT
K02666	4	K02666: type IV pilus assembly protein PilQ
K02663	4	K02663: type IV pilus assembly protein PilN
K02662	4	K02662: type IV pilus assembly protein PilM
K00809	4	K00809: deoxyhypusine synthase
K00806	4	K00806: undecaprenyl pyrophosphate synthetase
K00805	4	K00805: trans-hexaprenyltranstransferase
K00800	4	K00800: 3-phosphoshikimate 1-carboxyvinyltransferase
K02400	4	K02400: flagellar biosynthesis protein FlhA
K13048	4	K13048
K03750	4	K03750: molybdopterin biosynthesis protein MoeA
K09461	4	K09461: anthraniloyl-CoA monooxygenase
K13950	4	K13950
K12600	4	K12600: superkiller protein 3
K07120	4	K07120
K07127	4	K07127
K01870	4	K01870: isoleucyl-tRNA synthetase
K01873	4	K01873: valyl-tRNA synthetase
K01872	4	K01872: alanyl-tRNA synthetase
K01875	4	K01875: seryl-tRNA synthetase
K01874	4	K01874: methionyl-tRNA synthetase
K01876	4	K01876: aspartyl-tRNA synthetase
K01879	4	K01879: glycyl-tRNA synthetase beta chain
K01878	4	K01878: glycyl-tRNA synthetase alpha chain
K00477	4	K00477: phytanoyl-CoA hydroxylase
K00472	4	K00472: prolyl 4-hydroxylase
K00471	4	K00471: gamma-butyrobetaine dioxygenase
K00478	4	K00478
K04774	4	K04774: serine protease SohB
K04771	4	K04771: serine protease Do
K04772	4	K04772: serine protease DegQ
K01698	4	K01698: porphobilinogen synthase
K01695	4	K01695: tryptophan synthase alpha chain
K01697	4	K01697: cystathionine beta-synthase
K01696	4	K01696: tryptophan synthase beta chain
K01690	4	K01690: phosphogluconate dehydratase
K01693	4	K01693: imidazoleglycerol-phosphate dehydratase
K01692	4	K01692: enoyl-CoA hydratase
K03439	4	K03439: tRNA (guanine-N7-)-methyltransferase
K03438	4	K03438: S-adenosyl-methyltransferase
K13380	4	K13380
K03431	4	K03431: phosphoglucosamine mutase
K03430	4	K03430: 2-aminoethylphosphonate-pyruvate transaminase
K02348	4	K02348: ElaA protein
K02342	4	K02342: DNA polymerase III subunit epsilon
K02343	4	K02343: DNA polymerase III subunit gamma/tau
K03697	4	K03697: ATP-dependent Clp protease ATP-binding subunit ClpE
K03696	4	K03696: ATP-dependent Clp protease ATP-binding subunit ClpC
K03695	4	K03695: ATP-dependent Clp protease ATP-binding subunit ClpB
K03694	4	K03694: ATP-dependent Clp protease ATP-binding subunit ClpA
K03693	4	K03693: penicillin-binding protein
K07335	4	K07335: basic membrane protein A and related proteins
K07332	4	K07332: archaeal flagellar protein FlaI
K09695	4	K09695: lipooligosaccharide transport system ATP-binding protein
K09698	4	K09698: nondiscriminating glutamyl-tRNA synthetase
K00648	4	K00648: 3-oxoacyl-[acyl-carrier-protein] synthase III
K00645	4	K00645: [acyl-carrier-protein] S-malonyltransferase
K00311	4	K00311: electron-transferring-flavoprotein dehydrogenase
K00646	4	K00646: polyketide synthase
K00643	4	K00643: 5-aminolevulinate synthase
K00314	4	K00314: sarcosine dehydrogenase
K02815	4	K02815: PTS system sorbose-specific IID component
K03811	4	K03811: nicotinamide mononucleotide transporter
K03366	4	K03366: acetoin dehydrogenase
K01998	4	K01998: branched-chain amino acid transport system permease protein
K01999	4	K01999: branched-chain amino acid transport system substrate-binding protein
K01992	4	K01992: ABC-2 type transport system permease protein
K01990	4	K01990: ABC-2 type transport system ATP-binding protein
K01991	4	K01991: polysaccharide export outer membrane protein
K01996	4	K01996: branched-chain amino acid transport system ATP-binding protein
K01997	4	K01997: branched-chain amino acid transport system permease protein
K01995	4	K01995: branched-chain amino acid transport system ATP-binding protein
K05692	4	K05692: actin beta/gamma 1
K00860	4	K00860: adenylylsulfate kinase
K00863	4	K00863: dihydroxyacetone kinase
K00864	4	K00864: glycerol kinase
K01193	4	K01193: beta-fructofuranosidase
K01191	4	K01191: alpha-mannosidase
K01195	4	K01195: beta-glucuronidase
K01199	4	K01199: glucan endo-13-beta-D-glucosidase
K00304	4	K00304: sarcosine oxidase subunit delta
K00305	4	K00305: sarcosine oxidase subunit gamma
K00303	4	K00303: sarcosine oxidase subunit beta
K03594	4	K03594: bacterioferritin
K03595	4	K03595: GTP-binding protein Era
K03596	4	K03596: GTP-binding protein LepA
K03590	4	K03590: cell division protein FtsA
K03593	4	K03593: ATP-binding protein involved in chromosome partitioning
K03599	4	K03599: stringent starvation protein A
K01736	4	K01736: chorismate synthase
K01735	4	K01735: 3-dehydroquinate synthase
K01733	4	K01733: threonine synthase
K01738	4	K01738: cysteine synthase A
K05345	4	K05345: putative cyclase
K05349	4	K05349: beta-glucosidase
K03772	4	K03772: FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
K03777	4	K03777: D-lactate dehydrogenase
K03779	4	K03779: L(+)-tartrate dehydratase alpha subunit
K09992	4	K09992: hypothetical protein
K09998	4	K09998: arginine transport system permease protein
K11710	4	K11710: manganese/zinc/iron transport system ATP- binding protein
K11717	4	K11717: cysteine desulfurase / selenocysteine lyase
K10440	4	K10440: ribose transport system permease protein
K10441	4	K10441: ribose transport system ATP-binding protein
K07102	4	K07102
K07101	4	K07101
K07107	4	K07107
K10199	4	K10199: glucose/arabinose transport system ATP-binding protein
K10190	4	K10190: lactose/L-arabinose transport system permease protein
K10191	4	K10191: lactose/L-arabinose transport system ATP-binding protein
K10193	4	K10193: oligogalacturonide transport system permease protein
K10194	4	K10194: oligogalacturonide transport system permease protein
K10195	4	K10195: oligogalacturonide transport system ATP-binding protein
K01850	4	K01850: chorismate mutase
K01854	4	K01854: UDP-galactopyranose mutase
K08476	4	K08476: two-component system NtrC family phosphoglycerate transport system
K00450	4	K00450: gentisate 12-dioxygenase
K00108	4	K00108: choline dehydrogenase
K00106	4	K00106: xanthine oxidase
K00459	4	K00459: 2-nitropropane dioxygenase
K00104	4	K00104: glycolate oxidase
K00102	4	K00102: D-lactate dehydrogenase (cytochrome)
K00103	4	K00103: L-gulonolactone oxidase
K00100	4	K00100
K00101	4	K00101: L-lactate dehydrogenase (cytochrome)
K04755	4	K04755: ferredoxin 2Fe-2S
K01506	4	K01506
K04752	4	K04752: nitrogen regulatory protein P-II 2
K08900	4	K08900: mitochondrial chaperone BCS1
K06196	4	K06196: cytochrome c-type biogenesis protein
K06190	4	K06190: intracellular septation protein
K11102	4	K11102: proton glutamate symport protein
K00666	4	K00666: fatty-acyl-CoA synthase
K00661	4	K00661: maltose O-acetyltransferase
K06997	4	K06997
K06991	4	K06991
K06999	4	K06999
K06998	4	K06998
K00590	4	K00590: site-specific DNA-methyltransferase (cytosine-N4-specific)
K00599	4	K00599
K04102	4	K04102: 45-dihydroxyphthalate decarboxylase
K04103	4	K04103: indolepyruvate decarboxylase
K04100	4	K04100: protocatechuate 45-dioxygenase alpha chain
K04101	4	K04101: protocatechuate 45-dioxygenase beta chain
K04105	4	K04105: 4-hydroxybenzoate-CoA ligase
K07712	4	K07712: two-component system NtrC family nitrogen regulation response
K00843	4	K00843
K00841	4	K00841: aminotransferase
K00840	4	K00840: succinylornithine aminotransferase
K00847	4	K00847: fructokinase
K13775	4	K13775
K02621	4	K02621: topoisomerase IV subunit A
K02992	4	K02992: small subunit ribosomal protein S7
K02990	4	K02990: small subunit ribosomal protein S6
K08281	4	K08281: pyrazinamidase
K03574	4	K03574: 78-dihydro-8-oxoguanine triphosphatase
K03575	4	K03575: A/G-specific adenine glycosylase
K01710	4	K01710: dTDP-glucose 46-dehydratase
K01711	4	K01711: GDPmannose 46-dehydratase
K01714	4	K01714: dihydrodipicolinate synthase
K01716	4	K01716: 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
K01718	4	K01718: pseudouridylate synthase
K01719	4	K01719: uroporphyrinogen-III synthase
K02199	4	K02199: cytochrome c biogenesis protein CcmG thiol:disulfide interchange
K02198	4	K02198: cytochrome c-type biogenesis protein CcmF
K02197	4	K02197: cytochrome c-type biogenesis protein CcmE
K02196	4	K02196: cytochrome c-type biogenesis protein CcmD
K02195	4	K02195: heme exporter membrane protein CcmC
K03712	4	K03712: MarR family transcriptional regulator
K03711	4	K03711: Fur family transcriptional regulator ferric uptake regulator
K03716	4	K03716: spore photoproduct lyase
K11739	4	K11739: bacteriophage N4 adsorption protein A
K06872	4	K06872
K06874	4	K06874
K06878	4	K06878
K07478	4	K07478: putative ATPase
K08738	4	K08738: cytochrome c
K00128	4	K00128: aldehyde dehydrogenase (NAD+)
K00129	4	K00129: aldehyde dehydrogenase (NAD(P)+)
K00432	4	K00432: glutathione peroxidase
K00122	4	K00122: formate dehydrogenase
K00123	4	K00123: formate dehydrogenase alpha subunit
K00435	4	K00435: peroxiredoxin
K08973	4	K08973: putative membrane protein
K01520	4	K01520: dUTP pyrophosphatase
K01529	4	K01529
K13693	4	K13693
K02388	4	K02388: flagellar basal-body rod protein FlgC
K02389	4	K02389: flagellar basal-body rod modification protein FlgD
K02387	4	K02387: flagellar basal-body rod protein FlgB
K03386	4	K03386: peroxiredoxin (alkyl hydroperoxide reductase subunit C)
K03381	4	K03381: catechol 12-dioxygenase
K03382	4	K03382: hydroxyatrazine ethylaminohydrolase
K12344	4	K12344: 3-oxo-5-alpha-steroid 4-dehydrogenase 2
K12343	4	K12343: 3-oxo-5-alpha-steroid 4-dehydrogenase 1
K12340	4	K12340: outer membrane channel protein TolC
K02431	4	K02431: L-fucose mutarotase
K11690	4	K11690: C4-dicarboxylate transporter DctM subunit
K11693	4	K11693: peptidoglycan pentaglycine glycine transferase (the first glycine)
K11472	4	K11472: glycolate oxidase FAD binding subunit
K11473	4	K11473: glycolate oxidase iron-sulfur subunit
